method,subgroup,n,answer_F1,support_F1,joint_F1,support_title_recall,avg_topk,budget_std
agent_pm_dynamic_no_memory,easy_query,2443,0.7066602885197886,0.6225951698731068,0.41678461523232646,1.0,3.0,0.0
agent_pm_dynamic_no_memory,bandit_helped,12,0.9,0.5833333333333334,0.4833333333333334,0.5833333333333334,3.0,0.0
agent_pm_dynamic_no_memory,bandit_hurt,19,0.3157894736842105,0.4473684210526316,0.10526315789473684,0.6842105263157895,3.0,0.0
agent_pm_dynamic_no_memory,answer_failed_baseline,1603,0.029422719235272777,0.5049906425452277,0.01678474555963076,0.7033686837180287,3.0,0.0
agent_pm_dynamic_no_memory,support_failed_baseline,980,0.608484774862326,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_rule_v7,all,10000,0.6546575269614318,0.50625,0.3317408719661002,0.74425,3.0,0.0
agent_rule_v7,hard_query,5115,0.6050504594147857,0.3944281524926686,0.2501659999288083,0.5,3.0,0.0
agent_rule_v7,easy_query,4885,0.7066002394488612,0.623336745138178,0.41715652610545495,1.0,3.0,0.0
agent_rule_v7,bandit_helped,25,0.88,0.6,0.48,0.6,3.0,0.0
agent_rule_v7,bandit_hurt,34,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_rule_v7,answer_failed_baseline,3206,0.029422719235272777,0.5054585152838428,0.016847128591446107,0.7035246412975671,3.0,0.0
agent_rule_v7,support_failed_baseline,1960,0.6087908973113055,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
hypernet_v6,all,10000,0.6567956221995268,0.506,0.3321599195851478,0.7437,3.0,0.0
hypernet_v6,hard_query,5126,0.6053870566304295,0.39367928209129927,0.2494712379684609,0.5,3.0,0.0
hypernet_v6,easy_query,4874,0.7108621603831939,0.6241280262617973,0.41912384694812216,1.0,3.0,0.0
hypernet_v6,answer_failed_baseline,3206,0.029422719235272777,0.5062383031815346,0.016535213432369373,0.7011852776044916,3.0,0.0
hypernet_v6,support_failed_baseline,1960,0.6093011013929381,0.0,0.0,0.7219387755102041,3.0,0.0
