    PID    PPID                  STARTED     ELAPSED S %CPU %MEM COMMAND
    124       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/19]
    125       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/19]
    126       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/19]
    128       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/19:0H]
    129       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/20]
    130       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/20]
    131       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/20]
    132       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/20]
    134       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/20:0H-kblockd]
    135       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/21]
    136       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/21]
    137       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/21]
    138       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/21]
    140       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/21:0H-kblockd]
    141       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/22]
    142       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/22]
    143       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/22]
    144       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/22]
    146       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/22:0H-events_highpri]
    147       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/23]
    148       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/23]
    149       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/23]
    150       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/23]
    152       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/23:0H-kblockd]
    153       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/24]
    154       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/24]
    155       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/24]
    156       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/24]
    158       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/24:0H]
