USER         PID    PPID    PGID     SID                  STARTED     ELAPSED S %CPU %MEM COMMAND
root         112       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/17]
root         113       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/17]
root         114       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/17]
root         116       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/17:0H]
root         117       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/18]
root         118       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/18]
root         119       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/18]
root         120       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/18]
root         122       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/18:0H-kblockd]
root         123       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/19]
root         124       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/19]
root         125       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/19]
root         126       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/19]
root         128       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/19:0H]
root         129       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/20]
root         130       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/20]
root         131       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/20]
root         132       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/20]
root         134       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/20:0H-kblockd]
root         135       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/21]
root         136       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/21]
root         137       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/21]
root         138       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/21]
root         140       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/21:0H-kblockd]
root         141       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/22]
root         142       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/22]
root         143       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/22]
root         144       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/22]
root         146       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/22:0H-events_highpri]
root         147       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/23]
root         148       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/23]
root         149       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/23]
